Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
126,351,15.26086956521739,93,0.10344827586206896,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
127,227,11.947368421052632,82,0.1461187214611872,7,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
128,860,16.862745098039216,220,0.10058479532163743,19,12,11,11,8,6,10,8,2,2,2,2,2,1,1,1,1,1
129,317,15.095238095238095,95,0.11038961038961038,6,5,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
130,220,10.0,82,0.17209302325581396,5,3,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1
131,388,12.125,151,0.14864864864864866,4,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
132,345,16.428571428571427,102,0.11078717201166181,6,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1
133,270,13.5,95,0.14068441064638784,4,4,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1
134,792,23.294117647058822,194,0.11523687580025609,9,9,8,8,7,6,6,3,3,2,2,2,2,2,1,1,1,1
135,866,20.13953488372093,240,0.10046728971962617,8,8,7,6,6,5,2,2,2,2,2,2,2,2,1,1,1,1
136,521,14.08108108108108,157,0.15612648221343872,8,6,5,4,4,4,4,3,3,2,2,2,2,2,2,1,1,1
137,452,13.294117647058824,137,0.10585585585585586,10,5,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1
138,520,17.93103448275862,177,0.12720156555772993,11,8,7,5,4,4,3,2,2,2,2,2,2,1,1,1,1,1
139,302,13.727272727272727,95,0.10508474576271186,4,3,3,3,3,2,2,2,2,2,1,1,2,1,1,1,1,1
140,416,14.857142857142858,106,0.10757946210268948,7,4,3,3,3,3,3,3,1,1,1,1,3,1,1,1,1,1
141,336,16.0,94,0.1033434650455927,5,5,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1
142,473,15.766666666666667,147,0.12043010752688173,10,9,6,6,5,5,4,3,3,2,2,2,2,2,1,1,1,1
143,201,12.5625,66,0.135678391959799,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
144,108,13.5,45,0.23148148148148148,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
145,172,11.466666666666667,61,0.15384615384615385,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
146,527,21.08,127,0.1095890410958904,5,5,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1
147,597,16.135135135135137,173,0.11282051282051282,7,6,6,4,4,4,3,2,2,2,2,2,2,2,2,1,1,1
148,332,18.444444444444443,96,0.08950617283950617,5,5,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
149,327,23.357142857142858,113,0.20504731861198738,8,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1
150,196,16.333333333333332,52,0.061224489795918366,5,4,4,4,3,2,2,2,2,1,1,1,2,2,1,1,1,1
151,331,16.55,101,0.11782477341389729,6,5,5,5,3,3,3,2,2,2,1,1,1,1,1,1,1,1
152,428,17.833333333333332,129,0.11084905660377359,11,5,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
153,273,15.166666666666666,81,0.08582089552238806,9,8,6,4,3,3,4,3,2,2,2,2,2,2,2,2,1,1
154,502,19.307692307692307,117,0.09552845528455285,11,9,5,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1
155,286,15.052631578947368,100,0.16428571428571428,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1
156,142,28.4,26,0.06993006993006994,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
157,228,12.666666666666666,71,0.1210762331838565,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
158,535,14.86111111111111,190,0.1785028790786948,8,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1
159,512,26.94736842105263,153,0.13827655310621242,8,7,6,6,4,4,2,1,1,1,1,1,1,1,1,1,1,1
160,249,13.833333333333334,84,0.13877551020408163,5,5,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
161,240,12.631578947368421,79,0.1016949152542373,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
162,336,18.666666666666668,109,0.15692307692307692,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
163,81,8.1,34,0.10526315789473684,4,3,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1
164,217,12.764705882352942,77,0.13875598086124402,5,3,3,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1
165,271,15.055555555555555,77,0.13584905660377358,5,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
166,173,17.3,36,0.06321839080459771,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
167,359,17.095238095238095,117,0.14887640449438203,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
168,267,17.8,88,0.1450381679389313,7,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
169,282,13.428571428571429,97,0.12186379928315412,4,4,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1
170,332,17.473684210526315,115,0.13538461538461538,9,5,5,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1
171,265,15.588235294117647,85,0.14285714285714285,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
172,481,15.03125,163,0.17124735729386892,7,6,5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1
173,123,20.5,36,0.07758620689655173,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
174,424,19.272727272727273,109,0.10714285714285714,5,5,4,4,3,3,2,2,2,1,1,1,2,1,1,1,1,1
175,1514,14.557692307692308,474,0.10568561872909699,15,14,10,9,9,8,6,4,3,3,3,3,3,2,2,2,1,1
176,465,16.03448275862069,153,0.13390928725701945,5,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1
177,467,11.974358974358974,128,0.09586056644880174,10,7,7,5,5,4,3,3,2,2,2,2,2,1,1,1,1,1
178,232,14.5,63,0.10480349344978165,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
179,296,12.869565217391305,113,0.11149825783972125,5,5,4,3,3,3,2,2,2,2,1,1,2,2,1,1,1,1
180,248,41.333333333333336,61,0.1059322033898305,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
