Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
101,244,24.4,45,0.09836065573770492,6,5,5,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2
102,329,19.352941176470587,83,0.1196319018404908,7,6,6,5,5,4,5,4,3,2,2,2,3,2,2,2,2,2
103,272,19.428571428571427,63,0.12546125461254612,8,7,6,5,4,3,6,5,4,2,2,2,4,2,2,2,2,2
104,312,20.8,74,0.14743589743589744,8,7,6,5,5,5,5,4,2,2,2,2,2,2,2,1,1,1
105,287,20.5,68,0.13286713286713286,8,6,5,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2
106,313,24.076923076923077,78,0.13782051282051283,9,7,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2
107,390,21.666666666666668,70,0.0979381443298969,13,10,9,8,8,7,7,7,4,3,3,2,3,3,2,2,2,2
108,410,20.5,65,0.05134474327628362,6,6,6,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2
109,359,27.615384615384617,57,0.08913649025069638,13,11,10,6,6,5,11,6,5,4,4,4,5,5,4,3,3,3
110,351,21.9375,69,0.10571428571428572,8,7,6,5,5,5,5,4,4,3,3,3,4,3,3,3,3,2
111,259,23.545454545454547,49,0.07335907335907337,8,7,6,6,4,4,6,4,4,3,2,2,3,2,2,2,2,1
112,284,18.933333333333334,59,0.09219858156028368,10,9,7,5,5,3,5,5,4,3,3,3,3,3,2,2,2,2
113,408,24.0,86,0.11274509803921569,11,11,8,7,6,6,7,4,4,4,4,4,4,4,4,3,3,3
